procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1719400  33292 740368    0    0     0     0  429  702  2  4 95  0  0
 0  0      0 669032  33300  740356    0    0     0   656  546  742  2  5 92  0  0
 1  0      0 562688  33300  740356    0    0     0     0  293  594  1  1 99  0  0
 0  0 394752 215636   2828  324756    0 387452  2640 387452 2853 3070  3 16 81  1  0
 2  0 537856 105300   2348  310928   32 142892  2740 142892 1016 1244  1  4 95  0  0
 0  0 1317888 173116    868 218344    0 780152 19728 780152 4822 5529  2 19 78  2  0
 3  1 1573888 107088   1404 219524   16 255908  9608 255924 2179 3822  3  6 91  1  0
 0  1 2351872 186076    908 211332 3640 777940 61157 777940 7023 8283  4 23 66  8  0
 2  0 2449664 105060    896 223480 2044 97916  24960 97916 3045 7993  7  5 87  1  0
 1  0 3357440 147544    892 179004 1800 908216 22240 908364 100248 5476  3 22 71  4  0
 1  0 3388160 119204   1544 184992   52 30520   6684 30520 1058 2488  2  1 96  1  0
 1  0 4363776 111828   1620 170460  944 975880  4660 975880 204677 3248  2 22 74  1  0
 1  0 4385536 126400   1624 171652   76 21768   1192 21768  402  687  0  0 99  0  0
 2  0 5278464 109148   1668 162572  476 893272  4752 893272 187481 4448  2 22 73  3  0
 0  0 5455616 132196   1264 180288 5904 182080 25856 182100 28083 5803  2  4 90  3  0
 1  4 6238208 115788   1388 177484 1668 784364  4848 784364 119612 5833  2 15 68 15  0
 2  0 6500608 104116   1224 189376  972 263244 16592 263244 38183 3333  2  8 66 24  0
 0  0 6523648 112400   1384 201856 25228 48496 37892 48496 10953 13122  4  3 88  5  0
 0  0 2865920 6986460  1460 196316 1168    0    2104     0  782 1250  1  8 90  1  0
 0  0 2865920 6984704  1460 197188  392    0    1308     0  402  781  0  0 99  0  0
 0  0 2865920 6984200  1460 197160  300    0     528     0  352  702  0  0 98  1  0
